suburb,seifa_score,seifa_decile,population,region
Balmain,1155,10,10454,Inner West
Bondi,1151,10,10411,Eastern Suburbs
CBD Sydney,1107,10,16667,CBD
Chippendale,1128,10,7803,Inner South
Coogee,1175,10,14634,Eastern Suburbs
Darlinghurst,1155,10,10615,Inner East
Erskineville,1185,10,9657,Inner West
Glebe,1075,10,11680,Inner West
Leichhardt,1144,10,15158,Inner West
Manly,1169,10,16296,Northern Beaches
Marrickville,1087,10,26570,Inner West
Newtown,1143,10,14690,Inner West
Paddington,1178,10,12701,Inner East
Potts Point,1143,10,7183,Inner East
Pyrmont,1128,10,12658,CBD
Randwick,1149,10,28943,Eastern Suburbs
Redfern,1085,10,13072,Inner South
Surry Hills,1138,10,15828,Inner East
Ultimo,1074,10,7410,CBD
Kings Cross,1143,10,7183,Inner East
